_id,project_title,start_actual_isodate,donors_iso2,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
686,"For conducting Womenâs Safety Audits in one selected VDC in each of the six project districts in Mid, Far and Central Region to promote safe communities for all-Didibahini",2013-08-01T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Pipeline/identification,2013,2013,-,-
687,"Promoting Womenâs Rights, Protection and Participation in the Post Conflict Situation through strengthening of District Coordination Committee,enhancing leadership skills of women, providing coaching to prepare for civil service examination - (SFCG)",2013-07-26T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Pipeline/identification,2013,2013,-,44229
688,Final Evaluation of MP3W programme-(MITRA),2013-05-15T00:00:00,United Nations Development Fund for Women,"Government and civil society, general",Pipeline/identification,2013,2013,10792,2097
689,Final Evaluation of the programme on âSustaining the Gains of Foreign Labour Migration through the Protection of Migrant Workersâ Rightsâ,2013-09-11T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Implementation,2013,2013,-,11236
690,Development of a Booklet and Video on Sustaining the Gains of Foreign Labour Migration through the Protection of Migrant Workersâ Rights-Interface Nepal,,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Pipeline/identification,2013,2013,10681,-
691,Strengthening capacity of NWC to promote womenâs empowerment and gender equality issues effectively in Nepal(Shantimalika),2013-06-01T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Pipeline/identification,2013,2013,90552,17727
692,"To enhance the capacity of local stakeholders on women, peace and security agenda in Kavre, Ramechap and Sindhuli districts on the implementation of the National Action Plan (NAP) on UNSCRs 1325 and 1820 in the districts - (WHR)",2013-07-17T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Pipeline/identification,2013,2013,-,17089
693,"Strengthening Implementation of the Women, Peace and Security Agenda in Nepal: Towards Implementation of National Action Plan on UNSCRs 1325 and 1820-Bajhang",,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Pipeline/identification,-,-,-,-
694,Developing Capacity of Law Enforcement Officials and Government Officials in Implementing the In-Camera Hearing Guideline and Standard Operating Procedure (SOP) in Five Districts of Far and Mid-Western Nepal - (NJA),2013-10-08T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Pipeline/identification,2013,2013,-,-
695,"âStrengthening Implementation of the Women, Peace and Security Agenda in Nepal: Towards Implementation of National Action Plan on UNSCRs 1325 and 1820â in Kailali district-BASE",,UNWOMEN,"Conflict prevention and resolution, peace and security",Pipeline/identification,-,-,-,-
696,CONDUCTING AWARENESS CAMPAIGN IN THE CONSTITUENCIES FOR GENDER RESPONSIVE ELECTORAL PROCESS - (PRO-PUBLIC),2013-10-09T00:00:00,United Nations Development Fund for Women,"Government and civil society, general",Pipeline/identification,2013,2013,-,-
697,61-13104012-KAT (Education) Promoting education for sustainable development with a particular focus on integrating disaster risk reduction and management in the education sector,,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Implementation,2012,2013,19636,9255
698,64-11204012-KAT (Culture) Enhancing national capacities for the effective implementation of the World Heritage Convention 1-4,,"United Nations Educational, Scientific and Cultural Organization",Other social infrastructure and services,Implementation,2012,2013,19636,15046
699,64-11204019-KAT (Culture) Contributing to the protection of cultural heritage in Nepal,,"United Nations Educational, Scientific and Cultural Organization",Other social infrastructure and services,Implementation,2013,2013,114381,52090
700,65-11104001-KAT (CI) Increasing Awareness of Freedom of Expression and Freedom of Information,,"United Nations Educational, Scientific and Cultural Organization",Communications,Implementation,2012,2013,11742,7289
701,65-12104001-KAT (CI) Following up on the media assessment based on MDIs,,"United Nations Educational, Scientific and Cultural Organization",Communications,Implementation,2012,2013,10309,4622
702,"65-21204002-KAT (CI) Creating conditions for the safeguarding of documentary heritage as a symbolic force for peace, social stability and national identity",,"United Nations Educational, Scientific and Cultural Organization",Communications,Implementation,2012,2013,11968,7171
703,553 RAS 4005.5 (Culture) Strengthening capacities of Nepal for implementing the Convention for the Safeguarding of the Intangible Cultural Heritage,,"United Nations Educational, Scientific and Cultural Organization",Other social infrastructure and services,Implementation,2013,2013,53186,27214
704,216 NEP 4000 (Culture) UNESCO/UNDP Lumbini Development Support Team,,"United Nations Educational, Scientific and Cultural Organization",Other social infrastructure and services,Implementation,2013,2013,103312,44559
705,549NEP5000 (CI) - Empowering people to enjoy their Right to Information for greater accountability of Nepal's power holders,,European Union,Communications,Implementation,2013,2013,406439,99765
706,467GLO1007.26 (ED) - CAP EFA: Capacity Assessment for Non-formal Education in Nepal,,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Implementation,2013,2013,464811,165828
707,District Level Master Triggerersâ ToT on Total Sanitation in Bajura District,2011-12-07T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2011,2012,14991,10303
708,District Level Master Triggerersâ ToT on Total Sanitation in Bardiya District including Gulariya and Tikapur Municipalities,2011-12-07T00:00:00,United Nations Human Settlements Programme,Health,Completion,2011,2012,15000,14727
709,"Orientation on Total Sanitation and Behavioural Change to Schools, Communities and Local Stakeholders in Bajura",2011-12-08T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2011,2012,67000,46048
710,"Orientation on Total Sanitation and Behavioural Change to Schools, Communities and Local Stakeholders in Bardiya",2012-01-19T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,65756,19727
711,"Orientation on Total Sanitation and Behavioural Change to Schools, Communities and Local Stakeholders in Gulariya and Tikapur Municipalities",2012-01-23T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,8836,6185
712,Capacity Development of Stakeholders on Sector Coordination and Planning in Bajura,2011-12-07T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2011,2012,16000,12567
713,Capacity Development of Stakeholders on Sector Coordination and Planning in Bardiya,2011-12-07T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2011,2012,15990,12559
714,"Orientation and Sensitization of District and VDC Level Stakeholders in Sector Coordination, Planning and implementation in Sunsari District",2012-07-18T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,34753,13900
715,"Orientation on Total Sanitation and Behavioural Change to Schools, Communities and Local Stakeholders in Sindhupalchowk",2012-06-18T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,178503,53550
716,Open Defecation Free Campaign and Sanitation and Hygiene Behavioural Promotion in Bardiya-II,2012-07-05T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,134460,40339
717,Open Defecation Free Campaign and Sanitation and Hygiene Behavioural Promotion in Arghakhanchi,2012-07-04T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,293513,88053
718,Open Defecation Free Campaign and Sanitation and Hygiene Behavioural Promotion in Sindhupalchowk,2012-06-18T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,276714,83013
719,"Capacity Building on Total Sanitation and Behavioural Change to Schools, Communities and Local Level Stakeholders inÂ Bardiya Districts - II",2012-07-18T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,91205,27362
720,"Capacity Building on Total Sanitation and Behavioural Change to Schools, Communities and Local Level Stakeholders inÂ  Arghakhanchi",2012-07-18T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,206589,61976
721,"Capacity Building on Total Sanitation and Behavioral Change to Schools, Communities and Local Level Stakeholders inÂ Sunsari Districts",2012-07-20T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,174651,52396
722,Orientation and Sensitization of District and VDC Level Stakeholders in Sector Coordination Planning and Implementation in Sindhupalchowk District,2012-07-18T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,37015,14806
723,Orientation and Sensitization of District and VDC Level Stakeholders in Sector Coordination Planning and Implementation in Arghakhanchi,2012-06-18T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,33570,10070
724,Gender Responsive Recovery for Sustainble Peace,2012-07-24T00:00:00,United Nations Peace Fund,Other social infrastructure and services,Implementation,2012,2012,288210,288210
725,Way out of informality: Facilitating formalization of informal economy in Nepal.,2012-09-03T00:00:00,Japan,Other social infrastructure and services,Implementation,2012,2013,981843,152913
726,"More and Better Jobs, especially for vulnerable groups.",2012-03-15T00:00:00,International Labour Organization,"Other social infrastructure and services|Government and civil society, general",Implementation,2012,2013,248028,930040
727,Capacity building of ILO Constituents and major Stakeholders towards creating enabling environment for jobs.,2012-01-02T00:00:00,International Labour Organization,Other social infrastructure and services|Industry|Other social infrastructure and services|Other social infrastructure and services,Implementation,2012,2013,1326005,1203746
728,ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,2013-07-15T00:00:00,Department for International Development,Other social infrastructure and services|Other social infrastructure and services,Implementation,2013,2013,2063596,807463
729,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact",2013-07-01T00:00:00,International Labour Organization|European Union,"Other social infrastructure and services|Government and civil society, general",Implementation,2013,2013,1323679,568102
730,Towards Achieving the Elimination of the Worst Forms of Child Labour as Priority (ACHIEVE),2013-07-01T00:00:00,Denmark,Other social infrastructure and services|Other social infrastructure and services,Implementation,2013,2013,601155,601155
731,Nepal Public Financial Management Multi-Donor Trust Fund (PFM Grant No. TF 010455),2012-02-23T00:00:00,World Bank Trust Funds,General budget support,Implementation,2012,2012,2258240,583005
732,Project Preparatory facility for Energy (PPFE),,Asian Development Bank,Energy generation and supply,Pipeline/identification,-,-,-,-
733,Nepal Agriculture and Food Security Project,2013-04-30T00:00:00,World Bank Trust Funds,Agriculture,Implementation,2013,2013,48030493,""
734,Fish Farming Development in Nepal,2012-04-17T00:00:00,Norway,Agriculture,Implementation,2012,2012,3157273,518037
735,The Food Security Project for Underprivileged Farmers- 2012(KR2),2012-04-29T00:00:00,JapanKR2,Agriculture,Completion,2012,2013,3050146,2720785
736,Urgent Food Security Assistance to Severely Food Insecure Rural Households in Karnali-Bheri Regions of Nepal,,Food and Agriculture Organization,Agriculture,Completion,2012,2012,782417,-
737,Regional TA: Design and Implementation of Policy Approaches to Address Risk and Vulnerability of the Rural Poor at the Country Level,,Food and Agriculture Organization,Agriculture,Pipeline/identification,-,-,-,-
738,ReTA on Ecosystem Based Adaptation in Mountain Ecosystems in Nepal,2012-08-16T00:00:00,Food and Agriculture Organization,Forestry,Implementation,2012,2012,3311402,-
739,Zoonoses Control Project,2012-07-05T00:00:00,International Development Association,Health|Other,Implementation,2012,2013,9818437,1549370
740,Ginger Competitiveness Project: Enhancing Sanitary and Phytosanitary Capacity of Nepalese Ginger Exports through Public Private Partnerships,2012-07-18T00:00:00,World Trade Organization,Agriculture,Implementation,2012,2012,-,-
741,Enhancing Economic Analysis and South-South Learning,2012-10-01T00:00:00,Asian Development Bank,General budget support,Pipeline/identification,2012,2012,-,-
742,Policy assistance for bio-secure agro-food supply chain enhanced market access and food security for the small holding rural sector,2012-09-20T00:00:00,Food and Agriculture Organization,Agriculture,Implementation,2012,2012,321062,-
743,Kisankalagi Unnat Biu-Bijan Karyakram- Improved Seeds for Farmers Programme,2012-12-02T00:00:00,International Fund for Agricultural Development,Agriculture,Implementation,2012,2013,38641412,2621817
744,Sustainable Management and Development of NTFPs in Tarai and Siwalik Regions of Nepal,,Food and Agriculture Organization,Forestry,Pipeline/identification,-,-,-,-
745,UNNATI- Inclusive Growth Programme in Nepal,2013-12-16T00:00:00,Denmark,Agriculture,Pipeline/identification,2013,2013,-,-
746,Strengthening Higher Engineering Education,,Asian Development Bank,"Education, level unspecified",Pipeline/identification,2011,2013,550000,270757
747,Empowering Rural Community-Reaching the Unreached (SDF-ICT),2012-10-08T00:00:00,South Asian Association For Regional Cooperation,Communications,Implementation,2012,2012,-,-
748,USAID Support to Nepal Peace Trust Fund,2012-10-10T00:00:00,U.S. Agency for International Development,"Conflict prevention and resolution, peace and security",Implementation,2012,2013,490921,516456
749,Acquisition of 3 Turbo-Prop(MA 60)and 5 STOL(Y12E)Aircraft from AVIC International Holding Corporationof China to Nepal Airlines Corporation.,,China,Transport and storage,Pipeline/identification,-,-,-,-
750,UK support to Build Earthquake Resilience in Nepal,2012-09-04T00:00:00,Department for International Development,General environmental protection,Implementation,2012,2013,27462306,10759996
751,Enhance the capacity of Police Forces of Nepal.,2011-08-17T00:00:00,China,"Government and civil society, general",Pipeline/identification,2011,2011,939245,-
752,Security Equipment for the Police.,2011-08-17T00:00:00,China,"Government and civil society, general",Pipeline/identification,2011,2011,1565411,-
753,Armed Police Force College,2012-01-14T00:00:00,China,"Government and civil society, general",Pipeline/identification,2012,2012,61816,-
754,Water Resources Project preparatory Facility.,2012-11-02T00:00:00,Asian Development Bank,Agriculture,Implementation,2012,2012,10800280,-
755,"Sunaula Hazar Din ,Community Action for Nutrition Project",2012-07-13T00:00:00,World Bank Trust Funds,Other,Implementation,2012,2013,39273748,2065827
756,Establishing Women and Children Service Centers,2010-01-19T00:00:00,Department for International Development|Japan Fund for Poverty Reduction,Other social infrastructure and services,Implementation,2010,2013,3864729,-
757,Nepalese - German Manuscript Cataloguing Project,2002-08-02T00:00:00,German Nepal Help Association,Tourism,Implementation,2002,2012,2201196,-
758,Rural Access Programme Phase III,2013-01-31T00:00:00,Department for International Development,Other,Implementation,2013,2013,56245494,-
759,"Rural Water Supply and Sanitation Project in Western Nepal, Completion Phase (RWSSP- WN II)",2013-09-16T00:00:00,Finland,Other,Implementation,2013,2013,-,-
760,"Local Governance and Community Development Programme, Phase II (LGCDP II)",,Department for International Development|Swiss Agency for Development and Cooperation,Other,Pipeline/identification,-,-,-,-
761,Integrated Food Security Phase Classification (IPC)in Asia.,2011-11-01T00:00:00,Food and Agriculture Organization,Agriculture,Implementation,2011,2012,1800054,701584
762,Supporting the achievement of the Millineum  goals in Asia and the Pacific(Phase III),,The United Nations Economic and Social Commission for Asia and the Pacific,Other social infrastructure and services,Completion,2011,2011,7000,-
763,Support to the Development and Piloting of an Open Source Cadastre and Registration (OSCAR) Software Shell,2011-01-01T00:00:00,Food and Agriculture Organization,Agriculture,Implementation,2010,2011,2961820,-
764,Improving Research Capacity of Forest Resource Information Technology  (IRCFRIT),2010-01-01T00:00:00,Finland,Forestry,Completion,2009,2010,370490,-
765,TA-Demonstration of sustainable Forest Management with Community Participation in Nepal,2011-04-01T00:00:00,Association Planet Finance,Forestry,Completion,2011,2011,500179,-
766,Strengthening Capacity of the department of National Parks and Wildlife Conservation for Effective Management of Mountain Protected Area,,World Bank Trust Funds,Forestry,Implementation,2011,2013,500000,178191
767,Project for Strengthening Cadastral System in Nepal,,Korea International Cooperation Agency,Agriculture,Pipeline/identification,-,-,-,-
768,Land Records Information Management System,,Asian Development Bank,Agriculture,Implementation,2012,2012,1340216,-
769,TA-Building Climate Resilience of Watershed in Mountain Eco Region,2012-04-01T00:00:00,Asian Development Bank,Forestry,Implementation,2012,2012,-,-
770,Building Climate Resilience of Watersheds in Mountain Eco-Regions,,Nordic Development Fund|Asian Development Bank,Forestry,Pipeline/identification,-,-,-,-
771,"Safer Migration Project ( SaMi), Phase II",2013-07-17T00:00:00,Swiss Agency for Development and Cooperation,Other social infrastructure and services,Implementation,2013,2013,10060558,1007174
772,School Sector Programme (School Sector Reform Programme)Cofinancing by Australia,,Asian Development Bank|AusAid,"Education, level unspecified",Implementation,2012,2012,3402088,3167427
773,Chilime-Trishuli 220kv TL project; Trisuli 3B 220kv Substation Hub project;Dhunche Sub station under capacity augmentation of sub station project,,Kreditanstalt fÃ¼r Wiederaufbau|European Investment Bank,Energy generation and supply,Pipeline/identification,-,-,-,-
774,Proposal on Acquisition and the use of Electronic Voting Machine (EVM) and other supports in the future Elections in Nepal,,India,"Government and civil society, general",Pipeline/identification,-,-,-,-
775,Electoral Support Project Phase II,2012-11-29T00:00:00,Department for International Development|United Nations Development Programme|European Union,"Government and civil society, general",Implementation,2012,2013,16177649,5399438
776,Tanahu Hydropower Project,2013-03-13T00:00:00,Japan International Cooperation Agency|Nepal Electricitiy Authority|European Investment Bank|Asian Development Bank,Energy generation and supply,Implementation,2012,2013,487008094,-
777,Kali Gandaki A Hydropower Plant Rehabilitation Project,2013-07-08T00:00:00,International Development Association,Energy generation and supply,Pipeline/identification,2013,2013,28157231,-
778,Development policy credit - DPC,,International Development Association,"Government and civil society, general",Pipeline/identification,-,-,-,-
779,Sustainable Urban Environment (IUD-II),2013-02-04T00:00:00,Practical Action,Water supply and sanitation,Implementation,2013,2013,-,-
780,Making Markets for the Poor,2011-06-01T00:00:00,European Union,Other social infrastructure and services,Implementation,2011,2011,-,-
781,Churiya Livelihood Program,2007-07-01T00:00:00,Denmark,Forestry|Other social infrastructure and services,Implementation,2006,2013,6610798,5414664
782,Jaladh Integrated Watershed and Natural Resource Management Program,2008-07-01T00:00:00,Denmark,Other social infrastructure and services,Completion,2007,2010,2007177,1918748
783,Janajati social and economic empowerment project,2007-02-01T00:00:00,European Union,Other social infrastructure and services,Completion,2007,2013,1264946,1203122
784,Empowering Women in the Churia to Improve their Livelihoods (SHAKTI) Project,2008-01-01T00:00:00,Austria|European Union|Care Austria|CARE Nepal,Forestry|Other social infrastructure and services|Other social infrastructure and services,Completion,2008,2012,1686757,1512923
785,Women and Youth as Pillars of Sustainable Peace (WYPSP),2008-01-01T00:00:00,European Union|Care International UK|CARE Nepal,"Conflict prevention and resolution, peace and security|Other social infrastructure and services",Completion,2008,2012,1175513,1057576
786,Safe Passage,2008-01-01T00:00:00,European Union|CARE Nepal,Other social infrastructure and services,Completion,2008,2012,1155189,1039776
787,Women Empowerment for transformation in Churia Area Project (SAKCHHAM II),2010-01-01T00:00:00,Austria|Care Austria,Other social infrastructure and services|Other social infrastructure and services,Completion,2009,2010,521248,521248
788,Building community resilience to disasters in Far Western Nepal (SAMRAKSHAN),2011-04-01T00:00:00,Austria|European Union|Care Austria,"Agriculture|Conflict prevention and resolution, peace and security",Completion,2011,2011,649246,649246
789,"Enhancing Mobile Population Access to HIV/AIDs Service, Information & Support (EMPHASIS)",2009-08-02T00:00:00,CARE Nepal,Other social infrastructure and services|Other social infrastructure and services,Implementation,2009,2012,1531592,812060
790,Promotion and Protection of Rights of Nepali Migrant Women (Shuva Yatra),2011-01-01T00:00:00,Austria|European Union|Care Austria|CARE Nepal,Other social infrastructure and services|Other social infrastructure and services,Implementation,2010,2012,919441,805678
791,Strengthening State and Civil Society Capacity for Comprehensive Response to HIV/AIDS (Bharosa),2011-01-01T00:00:00,Denmark,Other social infrastructure and services|Other social infrastructure and services,Implementation,2010,2012,921166,810789
792,"Strengthening Approaches for Maximizing Maternal, Neonatal, and Reproductive Health (SAMMAN)",2011-12-01T00:00:00,CARE Nepal,Health|Other social infrastructure and services,Implementation,2011,2012,1183332,816513
793,Integrated Area Development Programme,2010-06-01T00:00:00,World Vision International,"Health|Education, level unspecified|Other social infrastructure and services|Agriculture|Agriculture|General budget support|Water supply and sanitation|Other social infrastructure and services",Implementation,2010,2013,23081916,17470148
794,The MEDIA (Media Empowerment for Democratic Information Access) Initiative,,U.S. Department of States,Communications,Implementation,2010,2010,707773,-
795,Supporting the Role of Schools in Disaster Risk Reduction (SRSD),2010-09-15T00:00:00,Reach Out To Asia (ROTA),"Education, level unspecified|Unallocated/ unspecified",Implementation,2010,2011,497653,497653
796,Managing Risk through Economic Development,2013-05-01T00:00:00,Margaret A. Cargill Foundation,"Agriculture|Government and civil society, general|Other social infrastructure and services",Pipeline/identification,2012,2013,22777,23962
797,The Holistic Community development Project in Humla,2010-05-25T00:00:00,The ISIS Foundation,Other|Water supply and sanitation|Health|General budget support,Implementation,2010,2012,445702,467737
798,Child Protection and Development Project,2010-05-25T00:00:00,The ISIS Foundation,"Education, level unspecified|Health",Implementation,2010,2013,1045138,638395
799,Building Local Democracy (BLD),2010-12-01T00:00:00,Action Aid International Nepal,Other,Pipeline/identification,2010,2010,-,-
800,Quality Education through Disaster Resilient Schools in Kailali District,2010-09-01T00:00:00,Reach Out To Asia (ROTA),"Education, level unspecified",Pipeline/identification,2010,2010,-,-
801,Saksham,,ActionAid International (AAI),Other social infrastructure and services,Pipeline/identification,-,-,-,-
802,Deepening Democracy Project (DD),2011-01-01T00:00:00,Danida HUGOU,"Government and civil society, general",Pipeline/identification,2011,2011,-,-
803,Kamaiya Housing Project,2011-07-16T00:00:00,Action Aid International Nepal,Other social infrastructure and services,Pipeline/identification,2011,2011,-,-
804,Building Disaster Resilient Communities(BDRC),2012-04-01T00:00:00,Department for International Development,"Education, level unspecified",Pipeline/identification,2012,2012,-,-
805,Poverty Alleviation Programme,2010-12-01T00:00:00,ActionAid International (AAI),"Other social infrastructure and services|Other|Agriculture|Agriculture|Education, level unspecified",Pipeline/identification,2010,2010,-,-
806,Rights-based Child-Centred Community Development (CCCD)in Nepal,2010-07-01T00:00:00,Plan Nepal,"Other social infrastructure and services|Unallocated/ unspecified|Education, level unspecified|Other social infrastructure and services|Health",Implementation,2010,2013,73889263,19064936
807,Enhancing Capacity of DoCPR,2012-08-08T00:00:00,Department for International Development,"Government and civil society, general",Implementation,2012,2012,-,-
808,SASEC Sub-Regional Trade Facilitation Program,2013-02-25T00:00:00,Asian Development Bank,Business and other services,Implementation,2013,2013,15493707,8263310
809,"A Collaborative Approach Promoting Child Rights, Non-discrimination and Child Participation",2013-02-01T00:00:00,Save the Children,Other social infrastructure and services,Implementation,2013,2013,-,-
810,Child Sensitive Social Protection,2011-01-01T00:00:00,Save the Children,Other social infrastructure and services,Implementation,2011,2011,-,-
811,Creating Protective Environment for Children( CPEC),2011-01-01T00:00:00,Save the Children,Other social infrastructure and services,Implementation,2011,2011,-,-
812,"Integrated Maternal Newborn, Child Health and Nutrition Project",2012-05-01T00:00:00,Save the Children,Health,Implementation,2012,2012,-,-
813,"""Partnering to Save Childrenâs and Mothersâ Lives Through Frontline Health Workers""",2012-02-01T00:00:00,Save the Children,Health,Implementation,2012,2012,-,-
814,Common Approach To Sponsorship Funded Programming,,Save the Children,"Education, level unspecified",Implementation,-,-,-,-
815,USIP Post Conflict Peacebuilding through dialogue in Education,2011-07-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2011,2011,-,-
816,Norad Cooperation 2011-2014,2013-01-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2013,2013,-,-
817,NORAD Extra Fund (Quality Primary Education and SZOP in Nepal),2013-02-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2013,2013,-,-
818,"Nepal Strategic Program Framework on Education, Protection and Livelihoods â SC Italy -2013-2015",2013-01-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2013,2013,-,-
819,Npl_Reintegration_of_CAAFAG_11-13,,Save the Children,Other social infrastructure and services,Implementation,-,-,-,-
820,Livelihood Support for Vulnerable and Excluded Communities,2012-06-01T00:00:00,Save the Children,Other social infrastructure and services,Implementation,2012,2012,-,-
821,Community Based Micro Health Insurance Project,2010-08-01T00:00:00,Save the Children,Health,Implementation,2010,2010,-,-
822,Developing sustainable models of ECCD,2013-01-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2013,2013,-,-
823,Heart in ECD,2013-01-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2013,2013,-,-
824,Quality education project in pre- primary and primary schools in Eastern Nepal,2011-04-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2011,2011,-,-
825,NPL SCK Literacy Boost (Samsung),2012-09-01T00:00:00,Gaja Youth Club,"Education, level unspecified",Implementation,2012,2012,-,-
826,Agricultire and Nutrition Extension Project (ANEP),2012-03-01T00:00:00,Save the Children,Agriculture,Implementation,2012,2012,-,-
827,Strengthen child friendly library in schools,2013-01-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2013,2013,-,-
828,Heart in ECD 2013,2011-09-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2011,2011,-,-
829,Developing sustainable models of ECCD 2013,2012-04-01T00:00:00,Save the Children,"Education, level unspecified",Implementation,2012,2012,-,-
830,"Improving Monitoring, Evaluation, Accountability and Learning (MEAL)",2013-01-01T00:00:00,Save the Children,Unallocated/ unspecified,Implementation,2013,2013,-,-
831,WFP Commodity values for Nepal (GIK),2013-08-01T00:00:00,Save the Children,Agriculture,Implementation,2013,2013,-,-
832,Safer Schools and Communities through Child Ceretered Disaster Risk Reduction Initiatives,2011-01-01T00:00:00,Save the Children,Other,Implementation,2011,2011,-,-
833,Terai Arc Landscape (TAL) Program,2011-07-01T00:00:00,"World Wildlife Fund, Inc., Nepal Program",Forestry,Implementation,2011,2013,2964554,2878022
834,Sacred Himalayan Landscape(SHL)Program,2011-07-01T00:00:00,"World Wildlife Fund, Inc., Nepal Program",Forestry,Implementation,2011,2013,1255891,1270225
835,National Conservation Priority Areas (NCPA),2011-07-01T00:00:00,"World Wildlife Fund, Inc., Nepal Program",Forestry,Implementation,2011,2013,626452,2680927
836,Koshi River Basin Management (KRBM) Program,2010-07-01T00:00:00,"World Wildlife Fund, Inc., Nepal Program",Water supply and sanitation,Implementation,2010,2013,1877906,923512
837,I have a voice: women advocating for development in Nepal,2011-09-01T00:00:00,Mission East,Other social infrastructure and services,Implementation,2011,2011,-,-
838,Economic growth for social justice: supporting non-timber forest product (NTFP)trade and business development in Karnali,2012-04-06T00:00:00,Mission East,Forestry,Implementation,2012,2012,-,-
839,"Empowering women in humla and mugu, Nepal",2013-01-15T00:00:00,Mission East,Other social infrastructure and services,Implementation,2013,2013,-,-
840,"Bringing inclusive CBDRR models into remote communities of Karnali, Nepal",2013-03-01T00:00:00,Mission East,General environmental protection,Implementation,2013,2013,-,-
841,Expansion of Malaria Prevention and Control to At-Risk Populations in Nepal,2007-11-02T00:00:00,Population Services International Nepal,Health,Implementation,2007,2013,2289244,999112
842,Reducing the impact of HIV on men who have sex with men and transgender populations in Nepal,2011-01-01T00:00:00,Population Services International Nepal,Health,Completion,2011,2013,1431535,252473
843,Water Guard - Safe Water System (SWS),2010-01-01T00:00:00,Population Services International Nepal,Water supply and sanitation|Health,Implementation,2010,2012,79529,72363
844,Women Health Project in Nepal,2009-01-01T00:00:00,Population Services International Nepal,Health,Implementation,2009,2013,15575304,15579027
845,Strengthening the Sustainability of the Physical Rehabilitation Sector for Greater Access to Services in Nepal,2012-02-01T00:00:00,Handicap International Nepal,Health,Implementation,2012,2012,244134,244134
846,"Integrated Disaster Risk Reduction, and Safe Migration Programmes in Nepal (Second phase)",2012-01-01T00:00:00,Dan Church Aid,Agriculture|Other social infrastructure and services,Implementation,2012,2013,-,81362
847,"Promotion of livelihood and sustainable food security, safe migration and participation in accountable governance",,Dan Church Aid,Agriculture|Other social infrastructure and services|Other social infrastructure and services,Pipeline/identification,-,-,-,-
848,Minimization of unsafe and forced migration among the vulnerable women (potential and returnees) of suburbs of Kathmandu district (7 VDC).,2012-12-01T00:00:00,AWO International,Other social infrastructure and services,Implementation,2012,2012,-,-
849,Community based Management of Acute Malnutrition (CMAM),2012-06-01T00:00:00,Action Contre La Faim,Health,Implementation,2012,2013,328842,104282
850,Employment Fund Project,2011-09-18T00:00:00,Swiss Agency for Development and Cooperation,"Education, level unspecified",Implementation,2011,2011,3424658,-
851,Promoting Reproductive Health Rights and Justice in Nepal,2013-01-07T00:00:00,Center for Reproductive Rights,Other social infrastructure and services,Implementation,2012,2013,522141,-
852,Nutrition and Micronutrient Support Program,2013-02-17T00:00:00,Micronutrient Initiative,Unspecified,Implementation,2013,2013,1003503,68230
853,Sustainable Agriculture based Livelihoods in Mountain Environments (SALME),2013-06-14T00:00:00,Norlha-Helping People in the Himalayas,Unspecified,Pipeline/identification,2013,2013,794319,6045
854,Health and Nutrition,,Nepal Youth Foundation,Unspecified,Pipeline/identification,-,-,-,-
